<Athletic_Park_(Vancouver)>	Athletic Park (Vancouver)
<Stuart_Ballantine_Medal>	Stuart Ballantine Medal
<Bootle>	Bootle
<Neighbours>	Neighbours
<Saipan>	Saipan
<S.C.U._Torreense>	S.C.U. Torreense
<Eric_L._Harry>	Eric L. Harry
<Lorenza_Izzo>	Lorenza Izzo
<Fenerbahçe_S.K._(football)>	Fenerbahçe S.K. (football)
<Ventnor_railway_station>	Ventnor railway station
<Sir_Charles_Nicholson,_2nd_Baronet>	Sir Charles Nicholson, 2nd Baronet
<The_China_Study>	The China Study
<João_Paiva>	João Paiva
<Richard_A._Cash>	Richard A. Cash
<Yale_Law_School>	Yale Law School
<United_States_men's_national_soccer_team>	United States men's national soccer team
<Svante_Janson>	Svante Janson
<Catherine_Schell>	Catherine Schell
<Edward_Abraham>	Edward Abraham
<Shek_Kong_Airfield>	Shek Kong Airfield
<Dean_Parrett>	Dean Parrett
<Henry_Augustus_Rowland>	Henry Augustus Rowland
<Eero_Saarinen>	Eero Saarinen
<The_Female_Eunuch>	The Female Eunuch
<Charles_Doolittle_Walcott>	Charles Doolittle Walcott
<Dimitri_Obolensky>	Dimitri Obolensky
<Clive_King>	Clive King
<Harvard_Law_School>	Harvard Law School
<Julia,_Lady_Inglis>	Julia, Lady Inglis
<Indépendance_Cha_Cha>	Indépendance Cha Cha
<360_Architecture>	360 Architecture
<Mark_A._Smith>	Mark A. Smith
<Sheller-Globe_Corporation>	Sheller-Globe Corporation
<Vladimir_Putin>	Vladimir Putin
<New_Academy_(Moscopole)>	New Academy (Moscopole)
<Stuart_Geman>	Stuart Geman
<À_rebours>	À rebours
<New_Rochelle,_New_York>	New Rochelle, New York
<Brühl_Palace,_Warsaw>	Brühl Palace, Warsaw
<Macchi_M.C.94>	Macchi M.C.94
<Henry_Maley>	Henry Maley
<James_Bjorken>	James Bjorken
<Swarthmore_College>	Swarthmore College
<Yvonne_Gilan>	Yvonne Gilan
<Hilary_Duff>	Hilary Duff
<Fritz_Von_Erich>	Fritz Von Erich
<Francis_Escudero>	Francis Escudero
<Neile_Adams>	Neile Adams
<Anthem_of_the_Slovene_nation>	Anthem of the Slovene nation
<Rumford_Medal>	Rumford Medal
<University_of_Göttingen>	University of Göttingen
<Steve_Mattin>	Steve Mattin
<Angus_MacPhail>	Angus MacPhail
<James_Arthur_(mathematician)>	James Arthur (mathematician)
<Johnny_Powers_(wrestler)>	Johnny Powers (wrestler)
<Zhuo_Lin>	Zhuo Lin
<Olympique_Lyonnais>	Olympique Lyonnais
<Brian_Jay_Jones>	Brian Jay Jones
<United_Labour_Party_(New_Zealand)>	United Labour Party (New Zealand)
<Marie_Marguerite,_Duchess_of_Anjou>	Marie Marguerite, Duchess of Anjou
<Cassa_Centrale_Banca_-_Credito_Cooperativo_del_Nord_Est>	Cassa Centrale Banca - Credito Cooperativo del Nord Est
<Katie_Ford_(CEO)>	Katie Ford (CEO)
<The_New_House>	The New House
<LucasArts>	LucasArts
<Felix_Bastians>	Felix Bastians
<John_McLaughlin_(host)>	John McLaughlin (host)
<Taxiride>	Taxiride
<Shakespeare's_Villains>	Shakespeare's Villains
<Gillingham_F.C.>	Gillingham F.C.
<Selman_A._Waksman_Award_in_Microbiology>	Selman A. Waksman Award in Microbiology
<Brighton>	Brighton
<Aage_Bohr>	Aage Bohr
<Gauthier_Manilius>	Gauthier Manilius
<MedicineNet>	MedicineNet
<Marilyn_Erskine>	Marilyn Erskine
<Roy_Kerr>	Roy Kerr
<Metropolitan_(1990_film)>	Metropolitan (1990 film)
<Hans-Ulrich_Reissig>	Hans-Ulrich Reissig
<Martin_&_Chamberlain>	Martin & Chamberlain
<Paulo_Machado>	Paulo Machado
<The_BFG_(1989_film)>	The BFG (1989 film)
<Kung_Fu_Panda_(video_game)>	Kung Fu Panda (video game)
<Australian_Labor_Party>	Australian Labor Party
<Dan_Rhodes>	Dan Rhodes
<Peter_Andreas_Blix>	Peter Andreas Blix
<George_FitzRoy,_4th_Duke_of_Grafton>	George FitzRoy, 4th Duke of Grafton
<Rolf_Henrich>	Rolf Henrich
<Maru's_Mission>	Maru's Mission
<Chung-Hua_Institution_for_Economic_Research>	Chung-Hua Institution for Economic Research
<Ivan_Fatić>	Ivan Fatić
<Henry_Hallett_Dale>	Henry Hallett Dale
<Philip_Sporn>	Philip Sporn
<Uxbridge_Cricket_Club_Ground>	Uxbridge Cricket Club Ground
<Panionios_F.C.>	Panionios F.C.
<James_A._Johnson_(architect)>	James A. Johnson (architect)
<Lou_Holtz>	Lou Holtz
<Nostromo>	Nostromo
<Armen_Der_Kiureghian>	Armen Der Kiureghian
<King_Lear_(1971_USSR_film)>	King Lear (1971 USSR film)
<Manfred>	Manfred
<Eastleigh_F.C.>	Eastleigh F.C.
<Richard_Foster_(Australian_politician)>	Richard Foster (Australian politician)
<Fox_Major_League_Baseball>	Fox Major League Baseball
<Jânio_Quadros>	Jânio Quadros
<Chris_Mavinga>	Chris Mavinga
<Alfred_Tarski>	Alfred Tarski
<Argosy_Gaming_Company>	Argosy Gaming Company
<Exeter_City_F.C.>	Exeter City F.C.
<Joseph_Larmor>	Joseph Larmor
<Ken_Freeman_(astronomer)>	Ken Freeman (astronomer)
<Seoul_Broadcasting_System>	Seoul Broadcasting System
<Dartmouth_College>	Dartmouth College
<Keith_Allan_(actor)>	Keith Allan (actor)
<EA_DICE>	EA DICE
<Portsmouth,_New_Hampshire>	Portsmouth, New Hampshire
<Petra_Bläss>	Petra Bläss
<Caryl_Phillips>	Caryl Phillips
<Jason_Richwine>	Jason Richwine
<Arlene_Alda>	Arlene Alda
<Sony_Creative_Software>	Sony Creative Software
<Something_Borrowed,_Something_Blue>	Something Borrowed, Something Blue
<Levadiakos_F.C.>	Levadiakos F.C.
<Włodzimierz_Cimoszewicz>	Włodzimierz Cimoszewicz
<UFO_(TV_series)>	UFO (TV series)
<Jaqo's_Dispossessed>	Jaqo's Dispossessed
<Richard_M._Russell>	Richard M. Russell
<Lausanne>	Lausanne
<2016–17_Birmingham_City_F.C._season>	2016–17 Birmingham City F.C. season
<Mongolia_Energy_Corporation>	Mongolia Energy Corporation
<Thomas_the_Apostle>	Thomas the Apostle
<Chaldean_Catholic_Church>	Chaldean Catholic Church
<Camilla_(Burney_novel)>	Camilla (Burney novel)
<Social_Democratic_Party_(New_Zealand)>	Social Democratic Party (New Zealand)
<John_Bromfield>	John Bromfield
<Romualdo_Pacheco>	Romualdo Pacheco
<Priestley_Medal>	Priestley Medal
<Patriarch_Tikhon_of_Moscow>	Patriarch Tikhon of Moscow
<Donald_J._Cram>	Donald J. Cram
<Henok_Goitom>	Henok Goitom
<Osborn_Elliott>	Osborn Elliott
<Andrzej_Duda>	Andrzej Duda
<Sopoti_Librazhd_B>	Sopoti Librazhd B
<Bell_M._Shimada>	Bell M. Shimada
<Nikki_Finke>	Nikki Finke
<Bohdan_Shust>	Bohdan Shust
<Johnny_Jarvis>	Johnny Jarvis
<Ito-toren>	Ito-toren
<Walsall_F.C.>	Walsall F.C.
<Matthew_Reid_(politician)>	Matthew Reid (politician)
<Margery_Gill>	Margery Gill
<Killer_Instinct>	Killer Instinct
<Alvin_S._White>	Alvin S. White
<Madison,_Wisconsin>	Madison, Wisconsin
<Geoffrey_Holder>	Geoffrey Holder
<Hoover_Field>	Hoover Field
<Tamara_Desni>	Tamara Desni
<Avalanche_Software>	Avalanche Software
<Aberystwyth_Town_F.C.>	Aberystwyth Town F.C.
<Michael_Stewart_(playwright)>	Michael Stewart (playwright)
<Anaïs_Nin>	Anaïs Nin
<Kris_Bryant>	Kris Bryant
<North_Hollywood,_Los_Angeles>	North Hollywood, Los Angeles
<David_Hornsby>	David Hornsby
<Popular_Socialist_Party_(Brazil)>	Popular Socialist Party (Brazil)
<Más_y_Más>	Más y Más
<Southampton>	Southampton
<Real_Sociedad>	Real Sociedad
<Howard_Georgi>	Howard Georgi
<Phil_Martelli>	Phil Martelli
<Freakazoid!>	Freakazoid!
<C.D._Olivais_e_Moscavide>	C.D. Olivais e Moscavide
<Nicklas_Bendtner>	Nicklas Bendtner
<Harlow_Town_F.C.>	Harlow Town F.C.
<Madhubala>	Madhubala
<Bridgeport,_Connecticut>	Bridgeport, Connecticut
<Jesús_Berrocal>	Jesús Berrocal
<Subiaco,_Western_Australia>	Subiaco, Western Australia
<Raymond_Barre>	Raymond Barre
<Ancestry.com>	Ancestry.com
<Chullora_Bus_Workshops>	Chullora Bus Workshops
<Volvo_850>	Volvo 850
<Mills_E._Godwin_Jr.>	Mills E. Godwin Jr.
<Government_of_Thailand>	Government of Thailand
<Gareth_Farrelly>	Gareth Farrelly
<Takaaki_Kajita>	Takaaki Kajita
<Harivallabh_Bhayani>	Harivallabh Bhayani
<Marcello_Trotta>	Marcello Trotta
<Nestor_Carbonell>	Nestor Carbonell
<Occidental_language>	Occidental language
<Banca_Teatina>	Banca Teatina
<Getúlio_Vargas>	Getúlio Vargas
<Traveller's_Tales>	Traveller's Tales
<Netherlands_national_under-21_football_team>	Netherlands national under-21 football team
<Brad_Mays>	Brad Mays
<Have_Yourself_a_Merry_Little_Christmas>	Have Yourself a Merry Little Christmas
<RCTI>	RCTI
<Ann_Morgan_Guilbert>	Ann Morgan Guilbert
<Animal_House>	Animal House
<Flag_of_Uruguay>	Flag of Uruguay
<David_Gilmour>	David Gilmour
<Ruth_Kirk>	Ruth Kirk
<Dracula,_the_Musical>	Dracula, the Musical
<Adelheid_von_Rothschild>	Adelheid von Rothschild
<Marita_Geraghty>	Marita Geraghty
<Chester_City_F.C.>	Chester City F.C.
<Revolt_Against_the_Modern_World>	Revolt Against the Modern World
<Archer_(horse)>	Archer (horse)
<İstiklâl_Marşı>	İstiklâl Marşı
<Beverly_Hills,_California>	Beverly Hills, California
<Walter_Bright>	Walter Bright
<Edwin_Stanton>	Edwin Stanton
<Epyx>	Epyx
<Miami_Beach,_Florida>	Miami Beach, Florida
<Franklin_Stahl>	Franklin Stahl
<Cardiff>	Cardiff
<The_Occult_Roots_of_Nazism>	The Occult Roots of Nazism
<Samuel_Hoffenstein>	Samuel Hoffenstein
<John_S._Norris>	John S. Norris
<Nancy_Olson>	Nancy Olson
<Kidsongs>	Kidsongs
<Emily_McLaughlin>	Emily McLaughlin
<Earl_Babbie>	Earl Babbie
<Journey_to_the_End_of_the_Night>	Journey to the End of the Night
<Gerald_Allen_(politician)>	Gerald Allen (politician)
<Zoltán_Stieber>	Zoltán Stieber
<Theodore_Freeman>	Theodore Freeman
<Kelly_Preston>	Kelly Preston
<Gothic_(series)>	Gothic (series)
<Shane_Claiborne>	Shane Claiborne
<St._Frances_of_Rome's_Church_(Bronx,_New_York)>	St. Frances of Rome's Church (Bronx, New York)
<Basil_Rathbone>	Basil Rathbone
<Susan_Norris_Fitkin>	Susan Norris Fitkin
<Eurocom>	Eurocom
<Patrick_Holt>	Patrick Holt
<Tadateru_Konoe>	Tadateru Konoe
<Social_Democracy_of_the_Republic_of_Poland>	Social Democracy of the Republic of Poland
<In_Watermelon_Sugar>	In Watermelon Sugar
<Modern_Woodmen_Park>	Modern Woodmen Park
<Albany,_New_York>	Albany, New York
<Andrew_Strominger>	Andrew Strominger
<Newton,_Massachusetts>	Newton, Massachusetts
<Sainsbury's>	Sainsbury's
<Z_Nation>	Z Nation
<Gaelco>	Gaelco
<Omar_Faiek_Shennib>	Omar Faiek Shennib
<Freddy_Adu>	Freddy Adu
<Limerick>	Limerick
<Bruce_Weber_(basketball)>	Bruce Weber (basketball)
<Madeline>	Madeline
<Virgin_Oceanic>	Virgin Oceanic
<The_Parent_'Hood>	The Parent 'Hood
<New_York_Yankees>	New York Yankees
<Force_Majeure_(tour)>	Force Majeure (tour)
<GMA_Network_(company)>	GMA Network (company)
<Animesh_Aich>	Animesh Aich
<Kay_Ryan>	Kay Ryan
<El_Colegio_de_México>	El Colegio de México
<Skiptvet_Church>	Skiptvet Church
<Edison_Lobão_Filho>	Edison Lobão Filho
<Nobody_Home_(film)>	Nobody Home (film)
<Burning_Buildings>	Burning Buildings
<Ivano_Trotta>	Ivano Trotta
<Jill_Lepore>	Jill Lepore
<Joe_Schenkman>	Joe Schenkman
<Air_Force_Institute_of_Technology>	Air Force Institute of Technology
<Eaton_Elementary_School_(Hattiesburg,_Mississippi)>	Eaton Elementary School (Hattiesburg, Mississippi)
<David_Suzuki>	David Suzuki
<Harry_Meyen>	Harry Meyen
<Paul_McCarthy>	Paul McCarthy
<William_Henry_Harrison>	William Henry Harrison
<James_Macfarlane>	James Macfarlane
<Joanne_Froggatt>	Joanne Froggatt
<Paul_Douglas_(actor)>	Paul Douglas (actor)
<JetForm>	JetForm
<Piranha_Bytes>	Piranha Bytes
<Heinrich_Rau>	Heinrich Rau
<Michele_Lee>	Michele Lee
<Knowle_Halt_railway_station>	Knowle Halt railway station
<Jayant_Narlikar>	Jayant Narlikar
<David_Botstein>	David Botstein
<Kumar_Suvarna_Chandrak>	Kumar Suvarna Chandrak
<ACS_Award_in_Pure_Chemistry>	ACS Award in Pure Chemistry
<James_O'Keefe>	James O'Keefe
<Sanjay_Jadhav>	Sanjay Jadhav
<Royal_Charger>	Royal Charger
<Christopher_Hacon>	Christopher Hacon
<Don_Juan_(Byron)>	Don Juan (Byron)
<GMA_Supershow>	GMA Supershow
<Myron_Selznick>	Myron Selznick
<Barbara_Sizemore>	Barbara Sizemore
<All_the_Pretty_Horses_(novel)>	All the Pretty Horses (novel)
<News_Corp_Australia>	News Corp Australia
<Fran_Drescher>	Fran Drescher
<The_Last_Tycoons>	The Last Tycoons
<Lolo_Soetoro>	Lolo Soetoro
<Darlene_Conley>	Darlene Conley
<Tomoko_Kawase>	Tomoko Kawase
<UniCredit_Bank_Serbia>	UniCredit Bank Serbia
<Denis_O'Dea>	Denis O'Dea
<Robin_Beanland>	Robin Beanland
<Yue_Fei>	Yue Fei
<Marco_Minniti>	Marco Minniti
<Banca_Mediolanum>	Banca Mediolanum
<Ta-Tanisha>	Ta-Tanisha
<University_of_Southern_California>	University of Southern California
<Mary_Ann_Mobley>	Mary Ann Mobley
<Dropcam>	Dropcam
<Citadel_Broadcasting>	Citadel Broadcasting
<Joseph_A._Konstan>	Joseph A. Konstan
<Katherine_Jenkins>	Katherine Jenkins
<Emme_Wong>	Emme Wong
<José_Luis_Loreto>	José Luis Loreto
<Paris>	Paris
<The_Whispering_Road>	The Whispering Road
<Mary_Chase_Walker>	Mary Chase Walker
<Sana_Althaf>	Sana Althaf
<Sulley_Muntari>	Sulley Muntari
<Mavis_Leno>	Mavis Leno
<A._Bhimsingh>	A. Bhimsingh
<Jnanpith_Award>	Jnanpith Award
<R._Siva_Kumar>	R. Siva Kumar
<Hartford,_Connecticut>	Hartford, Connecticut
<Rupert_Sanders>	Rupert Sanders
<Swindon_Town_F.C.>	Swindon Town F.C.
<Meeth_Halt_railway_station>	Meeth Halt railway station
<Peter_Wright>	Peter Wright
<Frances_Reid>	Frances Reid
<Alexandre_Borges>	Alexandre Borges
<ITV_plc>	ITV plc
<Fiat_Siena>	Fiat Siena
<Robert_A._Martienssen>	Robert A. Martienssen
<Mercedes-Benz_W116>	Mercedes-Benz W116
<Frank_D._White>	Frank D. White
<Craig_Melvin>	Craig Melvin
<Gustin_Nash>	Gustin Nash
<Meeting_Point>	Meeting Point
<BMW_3_Series_(E36)>	BMW 3 Series (E36)
<Patricia_Duff>	Patricia Duff
<Venkatraman_Ramakrishnan>	Venkatraman Ramakrishnan
<Andrey_Kapitsa>	Andrey Kapitsa
<Ahmad_Bashir>	Ahmad Bashir
<Claster_Television>	Claster Television
<Levi_Woodbury>	Levi Woodbury
<Saint-Maurice,_Lille>	Saint-Maurice, Lille
<Arthur_B._Shostak>	Arthur B. Shostak
<Erland_Josephson>	Erland Josephson
<Cookie_Jar_Group>	Cookie Jar Group
<Lyman_J._Gage>	Lyman J. Gage
<I.DE.A_Institute>	I.DE.A Institute
<David_Caiado>	David Caiado
<Beatrice_Colen>	Beatrice Colen
<Kenichi_Fukui>	Kenichi Fukui
<Big_Love>	Big Love
<Breaking_India>	Breaking India
<Australia_Prize>	Australia Prize
<James_Campbell_Matthews>	James Campbell Matthews
<Charlottesville,_Virginia>	Charlottesville, Virginia
<British_Leyland>	British Leyland
<The_Politically_Incorrect_Guide_to_Islam_(And_the_Crusades)>	The Politically Incorrect Guide to Islam (And the Crusades)
<Brad_Hall>	Brad Hall
<Cinedigm>	Cinedigm
<Progressive_Conservative_Party_of_Canada>	Progressive Conservative Party of Canada
<Vicarious_Visions>	Vicarious Visions
<Perdido_(song)>	Perdido (song)
<Burgos_CF>	Burgos CF
<Plaza_del_Mercado_de_Ponce>	Plaza del Mercado de Ponce
<EastEnders>	EastEnders
<Manuel_da_Costa_(footballer)>	Manuel da Costa (footballer)
<Karyn_Bosnak>	Karyn Bosnak
<Charles_Oatley>	Charles Oatley
<Josiah_Royce>	Josiah Royce
<Rafael_Márquez>	Rafael Márquez
<A._W._Tillinghast>	A. W. Tillinghast
<Nord_Aviation>	Nord Aviation
<What_Is_it_Like_to_Be_a_Bat?>	What Is it Like to Be a Bat?
<Horseshoe_Gaming_Holding_Corporation>	Horseshoe Gaming Holding Corporation
<Richard_Donner>	Richard Donner
<George_Forbes_(New_Zealand_politician)>	George Forbes (New Zealand politician)
<Lasker_Award>	Lasker Award
<Great_Western_Railway>	Great Western Railway
<East_Berlin>	East Berlin
<Speak,_Memory>	Speak, Memory
<Firestone_Country_Club>	Firestone Country Club
<The_Old_Gringo>	The Old Gringo
<Sick's_Stadium>	Sick's Stadium
<Charles_Lapworth>	Charles Lapworth
<David_Benioff>	David Benioff
<Philippe_Cannissié>	Philippe Cannissié
<William_Robinson_(architect)>	William Robinson (architect)
<Eleanor_Summerfield>	Eleanor Summerfield
<Philip_Leverhulme_Prize>	Philip Leverhulme Prize
<Raycom_Sports>	Raycom Sports
<Emil_Leon_Post>	Emil Leon Post
<James_Joseph_Sylvester>	James Joseph Sylvester
<Oakland,_California>	Oakland, California
<Billy_Strayhorn>	Billy Strayhorn
<Carnegie_Institution_for_Science>	Carnegie Institution for Science
<Melanie_Craft>	Melanie Craft
<Druid_Hills_Golf_Club>	Druid Hills Golf Club
<Belinda_Lang>	Belinda Lang
<Huge_(TV_series)>	Huge (TV series)
<Sky_Deutschland>	Sky Deutschland
<MicroProse>	MicroProse
<Below_the_Line>	Below the Line
<The_Gift_(Nabokov_novel)>	The Gift (Nabokov novel)
<Nobel_Peace_Prize>	Nobel Peace Prize
<DeeJay_TV>	DeeJay TV
<Chief_Secretary's_building>	Chief Secretary's building
<John_S._Bull>	John S. Bull
<Alon_Mizrahi>	Alon Mizrahi
<Samuel_Butler_(poet)>	Samuel Butler (poet)
<Medhi_Benatia>	Medhi Benatia
<Palm_Desert,_California>	Palm Desert, California
<One_Flew_Over_the_Cuckoo's_Nest_(novel)>	One Flew Over the Cuckoo's Nest (novel)
<Honda_NSX_(first_generation)>	Honda NSX (first generation)
<American_Beauty_(1999_film)>	American Beauty (1999 film)
<Leo_Sonnyboy>	Leo Sonnyboy
<Texas_A&M_University>	Texas A&M University
<Rio_Tinto_Group>	Rio Tinto Group
<Joan_Dowling>	Joan Dowling
<Eva_Trout_(novel)>	Eva Trout (novel)
<Juventus_F.C.>	Juventus F.C.
<FC_Zürich>	FC Zürich
<Radio_Nelson>	Radio Nelson
<Los_Angeles_County,_California>	Los Angeles County, California
<Spectrum_Sports_(Texas)>	Spectrum Sports (Texas)
<Bryan_Rabello>	Bryan Rabello
<Viacom>	Viacom
<Iker_Casillas>	Iker Casillas
<CJIC-TV>	CJIC-TV
<Ferdinand_Marcos>	Ferdinand Marcos
<Gdańsk>	Gdańsk
<Leo_Housakos>	Leo Housakos
<SPIE_Gold_Medal>	SPIE Gold Medal
<John_Veryard>	John Veryard
<Spanish_Civil_War>	Spanish Civil War
<Samantha_Weinstein>	Samantha Weinstein
<Kilusang_Bagong_Lipunan>	Kilusang Bagong Lipunan
<The_Weinstein_Company>	The Weinstein Company
<Oleg_Strakhanovich>	Oleg Strakhanovich
<Anti-Masonic_Party>	Anti-Masonic Party
<Johanna_Hofer>	Johanna Hofer
<Story_of_Your_Life>	Story of Your Life
<George_Stevens>	George Stevens
<Russian_Orthodox_Church>	Russian Orthodox Church
<Prisoner_(TV_series)>	Prisoner (TV series)
<Raf_Vallone>	Raf Vallone
<Kathleen_Hanna>	Kathleen Hanna
<New_Brunswick,_New_Jersey>	New Brunswick, New Jersey
<Athene_Donald>	Athene Donald
<Konrad_Zuse>	Konrad Zuse
<Ukraine_national_under-17_football_team>	Ukraine national under-17 football team
<John_Calvin>	John Calvin
<The_Three_Musketeers>	The Three Musketeers
<National_Marine_Fisheries_Service>	National Marine Fisheries Service
<Andrew_Peter_Mackenzie>	Andrew Peter Mackenzie
<Kathy_Hilton>	Kathy Hilton
<Totto_Osvold>	Totto Osvold
<Jeremiah_P._Ostriker>	Jeremiah P. Ostriker
<Swinton_Lions>	Swinton Lions
<Zhuzhou_Electric_Locomotive_Works>	Zhuzhou Electric Locomotive Works
<Ukraine_national_under-18_football_team>	Ukraine national under-18 football team
<Richard_Sampson_(politician)>	Richard Sampson (politician)
<Arno_Allan_Penzias>	Arno Allan Penzias
<Yasutomi_Nishizuka>	Yasutomi Nishizuka
<Gene_Raymond>	Gene Raymond
<Ruby_Keeler>	Ruby Keeler
<James_Stewart>	James Stewart
<New_Faces>	New Faces
<Hideki_Ogihara>	Hideki Ogihara
<Henry_N._Cobb>	Henry N. Cobb
<Canada_men's_national_under-23_soccer_team>	Canada men's national under-23 soccer team
<Arturs_Krišjānis_Kariņš>	Arturs Krišjānis Kariņš
<Fidi_Toscana>	Fidi Toscana
<Serhiy_Harashchenkov>	Serhiy Harashchenkov
<George_A._Frederick>	George A. Frederick
<Cesar_Conde>	Cesar Conde
<Linus_Pauling>	Linus Pauling
<Ken_Follett>	Ken Follett
<University_of_Paris>	University of Paris
<Quorn>	Quorn
<Vieux_Manoir>	Vieux Manoir
<Carl_Woese>	Carl Woese
<Mercedes-Benz_A-Class>	Mercedes-Benz A-Class
<Comcast_Spectacor>	Comcast Spectacor
<Simon_Curtis_(filmmaker)>	Simon Curtis (filmmaker)
<Robert_F._Furchgott>	Robert F. Furchgott
<Society_of_the_Holy_Child_Jesus>	Society of the Holy Child Jesus
<Dentinho>	Dentinho
<William_Allan_Award>	William Allan Award
<Brazilian_Democratic_Movement_Party>	Brazilian Democratic Movement Party
<Vilma_Santos>	Vilma Santos
<David_Cordón>	David Cordón
<Charles_Schuchert_Award>	Charles Schuchert Award
<Congressional_Gold_Medal>	Congressional Gold Medal
<Maila_Anchal>	Maila Anchal
<Irene_Wellington>	Irene Wellington
<Walt_Disney_Imagineering>	Walt Disney Imagineering
<Oliver_Wolcott_Jr.>	Oliver Wolcott Jr.
<Wende_Wagner>	Wende Wagner
<The_New_York_Times_Magazine>	The New York Times Magazine
<Mary_II_of_England>	Mary II of England
<Alan_Ball_(screenwriter)>	Alan Ball (screenwriter)
<Vladimir_Kuzov>	Vladimir Kuzov
<Jerrold_Tarog>	Jerrold Tarog
<Donald_Charles_Cameron_(politician)>	Donald Charles Cameron (politician)
<Sebastian_Roché>	Sebastian Roché
<Hans-Ulrich_Schmincke>	Hans-Ulrich Schmincke
<AFL_(video_game_series)>	AFL (video game series)
<Bernardino_Zaccagni>	Bernardino Zaccagni
<Orange/Newark_Tornadoes>	Orange/Newark Tornadoes
<Konstantinos_Tsatsos>	Konstantinos Tsatsos
<Tel_Aviv>	Tel Aviv
<Brookline,_Massachusetts>	Brookline, Massachusetts
<StudioCanal_UK>	StudioCanal UK
<Francis_Bretherton>	Francis Bretherton
<Taipei>	Taipei
<Robert_M._MacQueen>	Robert M. MacQueen
<Paddington,_New_South_Wales>	Paddington, New South Wales
<Kevin_P._Chilton>	Kevin P. Chilton
<Midway_Games>	Midway Games
<I.D._(play)>	I.D. (play)
<University_of_Zurich>	University of Zurich
<Irish_National_Stud>	Irish National Stud
<Talia_Balsam>	Talia Balsam
<Boston_University_School_of_Medicine>	Boston University School of Medicine
<David_Lack>	David Lack
<Soviet_Union>	Soviet Union
<James_Irwin>	James Irwin
<Ermal_Fejzullahu>	Ermal Fejzullahu
<Lyell_Medal>	Lyell Medal
<Miri_Jiyori>	Miri Jiyori
<David_Robinson_(horticulturist)>	David Robinson (horticulturist)
<Walter_Giller>	Walter Giller
<Sergio_Torres_Guardeño>	Sergio Torres Guardeño
<Keeping_You_a_Secret>	Keeping You a Secret
<Munich>	Munich
<Mikhail_Budyko>	Mikhail Budyko
<Shiva_Rose>	Shiva Rose
<William_Henry_Perkin>	William Henry Perkin
<Michael_Smith_(chemist)>	Michael Smith (chemist)
<Kristin_Prevallet>	Kristin Prevallet
<Youth_in_Revolt_(film)>	Youth in Revolt (film)
<Huron_Broadcasting>	Huron Broadcasting
<Fiona_Staples>	Fiona Staples
<Order_of_Merit>	Order of Merit
<Lawton_Chiles>	Lawton Chiles
<Francis_Crick>	Francis Crick
<Romford>	Romford
<The_Blue_Max>	The Blue Max
<Thornton_Wilder>	Thornton Wilder
<Société_Générale>	Société Générale
<North_Eastern_Region_of_British_Railways>	North Eastern Region of British Railways
<The_West_Point_Story_(TV_series)>	The West Point Story (TV series)
<'It's_Alive!'>	'It's Alive!'
<Nicolas_Rasmussen>	Nicolas Rasmussen
<Calgary>	Calgary
<Roland_Rainer>	Roland Rainer
<The_Big_Bird_Cage>	The Big Bird Cage
<Carol_Hughes_(actress)>	Carol Hughes (actress)
<Reunion_Wilderness>	Reunion Wilderness
<Hispano-Suiza_J12>	Hispano-Suiza J12
<Quentin_Davies>	Quentin Davies
<Academia_Sinica>	Academia Sinica
<Dennis_Hopper>	Dennis Hopper
<James_Cornell>	James Cornell
<Brooklyn_Dodgers_(NFL)>	Brooklyn Dodgers (NFL)
<Esperanza_Baur>	Esperanza Baur
<Mindpro_Citimall>	Mindpro Citimall
<Will_Reiser>	Will Reiser
<Amelia_Jones>	Amelia Jones
<Craig_Braham-Barrett>	Craig Braham-Barrett
<Jamby_Madrigal>	Jamby Madrigal
<John_Yarmuth>	John Yarmuth
<Båtsfjord_Airport_(1973–99)>	Båtsfjord Airport (1973–99)
